iter	Passed	Remaining
0	1	1456
1	2	1444
2	4	1437
3	5	1390
4	6	1377
5	8	1359
6	9	1340
7	10	1338
8	12	1330
9	13	1328
10	14	1327
11	16	1324
12	17	1317
13	18	1314
14	20	1314
15	21	1309
16	22	1307
17	23	1303
18	25	1303
19	26	1302
20	27	1297
21	29	1294
22	30	1291
23	31	1290
24	32	1285
25	34	1287
26	35	1287
27	37	1285
28	38	1283
29	39	1281
30	40	1280
31	42	1278
32	43	1275
33	44	1274
34	46	1272
35	47	1269
36	48	1268
37	50	1267
38	51	1266
39	52	1264
40	54	1264
41	55	1264
42	56	1263
43	58	1261
44	59	1259
45	60	1258
46	62	1257
47	63	1256
48	64	1257
49	66	1255
50	67	1253
51	68	1251
52	69	1248
53	71	1247
54	72	1245
55	73	1243
56	75	1241
57	76	1240
58	77	1237
59	78	1235
60	80	1234
61	81	1232
62	82	1230
63	84	1229
64	85	1227
65	86	1225
66	87	1224
67	89	1222
68	90	1222
69	91	1221
70	93	1220
71	94	1220
72	96	1219
73	97	1217
74	98	1216
75	99	1214
76	101	1212
77	102	1211
78	103	1209
79	104	1207
80	106	1205
81	107	1203
82	108	1202
83	110	1201
84	111	1200
85	112	1199
86	114	1198
87	115	1196
88	116	1195
89	118	1193
90	119	1192
91	120	1190
92	121	1189
93	123	1186
94	124	1185
95	125	1184
96	127	1182
97	128	1181
98	129	1180
99	130	1178
100	132	1176
101	133	1175
102	134	1173
103	136	1172
104	137	1171
105	138	1170
106	140	1169
107	141	1168
108	142	1166
109	143	1164
110	145	1163
111	146	1162
112	147	1161
113	149	1160
114	150	1158
115	151	1157
116	153	1156
117	154	1156
118	156	1156
119	157	1155
120	158	1153
121	160	1152
122	161	1151
123	162	1149
124	163	1147
125	165	1146
126	166	1145
127	167	1144
128	169	1143
129	170	1142
130	172	1141
131	173	1139
132	174	1138
133	175	1136
134	177	1135
135	178	1134
136	179	1132
137	181	1131
138	182	1129
139	183	1128
140	185	1127
141	186	1126
142	187	1125
143	189	1123
144	190	1122
145	191	1121
146	192	1119
147	194	1118
148	195	1117
149	196	1115
150	198	1114
151	199	1113
152	200	1111
153	202	1110
154	203	1108
155	204	1107
156	205	1106
157	207	1104
158	208	1103
159	209	1101
160	211	1100
161	212	1099
162	213	1098
163	215	1097
164	216	1095
165	217	1094
166	219	1093
167	220	1092
168	221	1090
169	223	1089
170	224	1087
171	225	1086
172	226	1085
173	228	1083
174	229	1082
175	230	1081
176	232	1079
177	233	1078
178	234	1077
179	236	1075
180	237	1074
181	238	1073
182	240	1071
183	241	1070
184	242	1069
185	244	1068
186	245	1067
187	246	1065
188	248	1064
189	249	1063
190	250	1061
191	251	1060
192	253	1058
193	254	1057
194	255	1055
195	257	1054
196	258	1053
197	259	1052
198	261	1051
199	262	1049
200	263	1048
201	265	1046
202	266	1045
203	267	1044
204	268	1042
205	270	1041
206	271	1040
207	272	1039
208	274	1037
209	275	1037
210	276	1035
211	278	1034
212	279	1032
213	280	1031
214	282	1030
215	283	1029
216	284	1027
217	286	1026
218	287	1025
219	288	1023
220	290	1023
221	291	1022
222	292	1020
223	294	1019
224	295	1017
225	296	1016
226	298	1015
227	299	1013
228	300	1012
229	302	1011
230	303	1009
231	304	1009
232	306	1008
233	307	1007
234	308	1005
235	310	1004
236	311	1003
237	312	1001
238	314	1000
239	315	998
240	316	997
241	318	996
242	319	994
243	320	993
244	322	992
245	323	991
246	324	989
247	325	988
248	327	987
249	328	985
250	329	984
251	331	983
252	332	981
253	333	980
254	335	979
255	336	978
256	338	977
257	339	975
258	340	974
259	341	973
260	343	972
261	344	971
262	346	970
263	347	969
264	349	968
265	350	966
266	351	965
267	352	963
268	354	962
269	355	960
270	356	959
271	358	958
272	359	956
273	360	955
274	361	954
275	363	952
276	364	952
277	366	950
278	367	949
279	368	947
280	369	946
281	371	945
282	372	943
283	373	942
284	375	940
285	376	939
