Driver,Team,LapTime,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,DriverPoints,TeamPoints,DriverAvgQualiPos,TeamAvgQualiPos,IsStreetCircuit,F1Era,CircuitCorners,TrackAirDiff,IsHighHumidity,DriverQualiPace,DriverSeasons,CircuitLength,TeamPointsContribution,Event,CircuitId,CarEngine
HAM,Mercedes,82.051,2018,24.9,57.6,1007.9,False,31.6,363.0,668.0,3.4,3.2,True,WideAero,14,6.7,False,-0.2,11,5.278,0.54,Q3,albert_park,Mercedes
HAM,Mercedes,81.164,2018,24.5,60.5,1007.9,False,30.5,363.0,668.0,3.4,3.2,True,WideAero,14,6.0,False,-0.2,11,5.278,0.54,Q3,albert_park,Mercedes
RAI,Ferrari,82.251,2018,24.5,60.3,1007.9,False,30.4,205.0,522.0,3.8,3.55,True,WideAero,14,5.9,False,-0.25,15,5.278,0.39,Q3,albert_park,Ferrari
RAI,Ferrari,81.828,2018,24.6,60.7,1007.9,False,30.5,205.0,522.0,3.8,3.55,True,WideAero,14,5.9,False,-0.25,15,5.278,0.39,Q3,albert_park,Ferrari
VET,Ferrari,82.085,2018,24.9,59.6,1007.9,False,30.2,317.0,522.0,3.3,3.55,True,WideAero,14,5.3,False,0.25,11,5.278,0.61,Q3,albert_park,Ferrari
VET,Ferrari,81.838,2018,24.9,60.0,1007.9,False,29.9,317.0,522.0,3.3,3.55,True,WideAero,14,5.0,False,0.25,11,5.278,0.61,Q3,albert_park,Ferrari
VER,Red Bull Racing,82.112,2018,24.6,62.5,1007.9,False,29.4,168.0,368.0,5.35,5.72,True,WideAero,14,4.8,False,0.37,3,5.278,0.46,Q3,albert_park,Renault
VER,Red Bull Racing,81.879,2018,24.7,61.9,1007.9,False,29.8,168.0,368.0,5.35,5.72,True,WideAero,14,5.1,False,0.37,3,5.278,0.46,Q3,albert_park,Renault
RIC,Red Bull Racing,82.386,2018,24.7,62.3,1007.9,False,29.4,200.0,368.0,6.1,5.72,True,WideAero,14,4.7,False,-0.38,7,5.278,0.54,Q3,albert_park,Renault
RIC,Red Bull Racing,82.152,2018,24.5,62.8,1007.9,False,29.3,200.0,368.0,6.1,5.72,True,WideAero,14,4.8,False,-0.38,7,5.278,0.54,Q3,albert_park,Renault
MAG,Haas F1 Team,83.187,2018,24.6,62.3,1007.9,False,29.3,19.0,47.0,15.35,14.6,True,WideAero,14,4.7,False,-0.75,3,5.278,0.4,Q3,albert_park,Ferrari
GRO,Haas F1 Team,83.339,2018,24.4,63.2,1007.9,False,28.9,28.0,47.0,13.85,14.6,True,WideAero,14,4.5,False,0.75,7,5.278,0.6,Q3,albert_park,Ferrari
HUL,Renault,83.532,2018,24.3,63.1,1007.9,False,28.8,43.0,57.0,9.55,11.1,True,WideAero,14,4.5,False,1.55,7,5.278,0.75,Q3,albert_park,Renault
SAI,Renault,83.577,2018,24.6,59.8,1007.9,False,31.6,54.0,57.0,11.45,11.1,True,WideAero,14,7.0,False,-0.35,3,5.278,0.95,Q3,albert_park,Renault
HAM,Mercedes,82.681,2019,22.9,69.8,1016.7,False,39.1,408.0,655.0,2.48,3.0,True,WideAero,14,16.2,False,0.52,12,5.278,0.62,Q1,albert_park,Mercedes
HAM,Mercedes,82.043,2019,22.9,70.0,1016.7,False,38.9,408.0,655.0,2.48,3.0,True,WideAero,14,16.0,False,0.52,12,5.278,0.62,Q1,albert_park,Mercedes
BOT,Mercedes,82.658,2019,23.1,69.9,1016.7,False,38.7,247.0,655.0,3.52,3.0,True,WideAero,14,15.6,False,-0.52,6,5.278,0.38,Q1,albert_park,Mercedes
